# time (s)	h_+ (strain)	h_x (strain)
-1.971541235	-3.739710e-22	5.815844e-23
-1.971480200	-3.723507e-22	6.772719e-23
-1.971419164	-3.704735e-22	7.724534e-23
-1.971358129	-3.683390e-22	8.670426e-23
-1.971297094	-3.659507e-22	9.609667e-23
-1.971236059	-3.633115e-22	1.054151e-22
-1.971175024	-3.604238e-22	1.146520e-22
-1.971113989	-3.572902e-22	1.237997e-22
-1.971052954	-3.539139e-22	1.328509e-22
-1.970991918	-3.502983e-22	1.417984e-22
-1.970930883	-3.464472e-22	1.506352e-22
-1.970869848	-3.423646e-22	1.593545e-22
-1.970808813	-3.380545e-22	1.679494e-22
-1.970747778	-3.335213e-22	1.764133e-22
-1.970686743	-3.287696e-22	1.847400e-22
-1.970625707	-3.238041e-22	1.929232e-22
-1.970564672	-3.186299e-22	2.009568e-22
-1.970503637	-3.132522e-22	2.088350e-22
-1.970442602	-3.076762e-22	2.165523e-22
-1.970381567	-3.019075e-22	2.241033e-22
-1.970320532	-2.959518e-22	2.314827e-22
-1.970259496	-2.898150e-22	2.386856e-22
-1.970198461	-2.835029e-22	2.457072e-22
-1.970137426	-2.770217e-22	2.525431e-22
-1.970076391	-2.703777e-22	2.591890e-22
-1.970015356	-2.635771e-22	2.656408e-22
-1.969954321	-2.566265e-22	2.718948e-22
-1.969893286	-2.495323e-22	2.779474e-22
-1.969832250	-2.423011e-22	2.837953e-22
-1.969771215	-2.349398e-22	2.894355e-22
-1.969710180	-2.274548e-22	2.948652e-22
-1.969649145	-2.198532e-22	3.000817e-22
-1.969588110	-2.121417e-22	3.050828e-22
-1.969527075	-2.043271e-22	3.098664e-22
-1.969466039	-1.964164e-22	3.144307e-22
-1.969405004	-1.884165e-22	3.187740e-22
-1.969343969	-1.803341e-22	3.228952e-22
-1.969282934	-1.721763e-22	3.267929e-22
-1.969221899	-1.639499e-22	3.304665e-22
-1.969160864	-1.556617e-22	3.339152e-22
-1.969099829	-1.473185e-22	3.371386e-22
-1.969038793	-1.389271e-22	3.401367e-22
-1.968977758	-1.304942e-22	3.429093e-22
-1.968916723	-1.220265e-22	3.454569e-22
-1.968855688	-1.135304e-22	3.477798e-22
-1.968794653	-1.050126e-22	3.498787e-22
-1.968733618	-9.647951e-23	3.517546e-22
-1.968672582	-8.793738e-23	3.534086e-22
-1.968611547	-7.939250e-23	3.548418e-22
-1.968550512	-7.085102e-23	3.560558e-22
-1.968489477	-6.231898e-23	3.570523e-22
-1.968428442	-5.380231e-23	3.578330e-22
-1.968367407	-4.530681e-23	3.583999e-22
-1.968306371	-3.683818e-23	3.587552e-22
-1.968245336	-2.840201e-23	3.589012e-22
-1.968184301	-2.000372e-23	3.588404e-22
-1.968123266	-1.164862e-23	3.585753e-22
-1.968062231	-3.341877e-24	3.581087e-22
-1.968001196	4.911460e-24	3.574435e-22
-1.967940161	1.310650e-23	3.565826e-22
-1.967879125	2.123851e-23	3.555292e-22
-1.967818090	2.930288e-23	3.542865e-22
-1.967757055	3.729515e-23	3.528577e-22
-1.967696020	4.521101e-23	3.512464e-22
-1.967634985	5.304631e-23	3.494559e-22
-1.967573950	6.079704e-23	3.474899e-22
-1.967512914	6.845937e-23	3.453521e-22
-1.967451879	7.602957e-23	3.430462e-22
-1.967390844	8.350409e-23	3.405760e-22
-1.967329809	9.087955e-23	3.379454e-22
-1.967268774	9.815271e-23	3.351582e-22
-1.967207739	1.053205e-22	3.322184e-22
-1.967146704	1.123799e-22	3.291301e-22
-1.967085668	1.193281e-22	3.258972e-22
-1.967024633	1.261626e-22	3.225239e-22
-1.966963598	1.328808e-22	3.190142e-22
-1.966902563	1.394804e-22	3.153722e-22
-1.966841528	1.459592e-22	3.116021e-22
-1.966780493	1.523150e-22	3.077080e-22
-1.966719457	1.585460e-22	3.036941e-22
-1.966658422	1.646504e-22	2.995644e-22
-1.966597387	1.706266e-22	2.953232e-22
-1.966536352	1.764730e-22	2.909745e-22
-1.966475317	1.821882e-22	2.865225e-22
-1.966414282	1.877709e-22	2.819712e-22
-1.966353246	1.932202e-22	2.773249e-22
-1.966292211	1.985348e-22	2.725874e-22
-1.966231176	2.037141e-22	2.677629e-22
-1.966170141	2.087571e-22	2.628554e-22
-1.966109106	2.136632e-22	2.578688e-22
-1.966048071	2.184320e-22	2.528071e-22
-1.965987036	2.230629e-22	2.476742e-22
-1.965926000	2.275556e-22	2.424740e-22
-1.965864965	2.319100e-22	2.372101e-22
-1.965803930	2.361259e-22	2.318866e-22
-1.965742895	2.402032e-22	2.265069e-22
-1.965681860	2.441420e-22	2.210749e-22
-1.965620825	2.479426e-22	2.155942e-22
-1.965559789	2.516051e-22	2.100683e-22
-1.965498754	2.551299e-22	2.045007e-22
-1.965437719	2.585174e-22	1.988949e-22
-1.965376684	2.617681e-22	1.932543e-22
-1.965315649	2.648826e-22	1.875823e-22
-1.965254614	2.678615e-22	1.818821e-22
-1.965193579	2.707055e-22	1.761569e-22
-1.965132543	2.734154e-22	1.704100e-22
-1.965071508	2.759921e-22	1.646444e-22
-1.965010473	2.784364e-22	1.588631e-22
-1.964949438	2.807494e-22	1.530692e-22
-1.964888403	2.829320e-22	1.472656e-22
-1.964827368	2.849853e-22	1.414550e-22
-1.964766332	2.869106e-22	1.356403e-22
-1.964705297	2.887088e-22	1.298242e-22
-1.964644262	2.903813e-22	1.240094e-22
-1.964583227	2.919294e-22	1.181984e-22
-1.964522192	2.933543e-22	1.123938e-22
-1.964461157	2.946573e-22	1.065980e-22
-1.964400121	2.958400e-22	1.008135e-22
-1.964339086	2.969036e-22	9.504246e-23
-1.964278051	2.978496e-22	8.928730e-23
-1.964217016	2.986795e-22	8.355018e-23
-1.964155981	2.993949e-22	7.783324e-23
